,avg_star
736,4.3
737,4.3
738,4.4
739,4.4
740,4.5
741,4.2
742,4.2
743,4.2
744,4.3
745,4.4
746,4.4
747,4.4
748,3.9
749,4.3
750,4.2
751,4.3
752,4.2
753,3.2
754,4.3
755,4.3
756,4.3
757,4.3
758,4.3
759,4.4
760,4.4
761,4.4
762,4.3
763,4.3
764,4.3
765,3
766,4.4
767,4.5
768,4.2
769,4.2
770,4.3
771,4.6
772,4.4
773,4.4
774,4.6
775,4.4
776,4.4
777,3.9
778,4.4
779,3
780,4.3
781,4.3
782,4.2
783,4.3
784,4.1
785,4.3
786,4.4
787,3
788,4.4
789,4.4
790,4.4
791,4.2
792,4.4
793,3.8
794,4.2
795,3.3
796,4.2
797,3.3
798,3
799,3.2
800,4.6
801,4.3
802,3.2
803,4.3
804,4.3
805,4.4
806,3.3
807,4.4
808,4.4
809,4.3
810,4.3
811,4.4
812,4.3
813,4.4
814,4.4
815,4.4
816,4.3
817,4.3
818,3
819,4.1
820,4.4
821,4.2
822,4.2
823,4.1
824,4.4
825,4.4
826,4.3
827,4.3
828,4.5
829,3.3
830,3.8
831,4.4
832,4.4
833,4.1
834,4.2
835,4.3
836,4.4
837,3.6
838,3
839,4.4
840,4.4
841,4.6
842,4.3
843,3.8
844,4.3
845,3
846,3.6
847,4.3
848,3.5
849,4.3
850,4.5
851,3.3
852,4.2
853,4.3
854,4.3
855,3.3
856,4.4
857,3.9
858,4.2
859,4.2
860,3
861,4.2
862,4.4
863,3.8
864,4.4
865,4.4
866,4.4
867,3.9
868,3.9
869,4.1
870,4.3
871,4.4
872,4.1
873,3.3
874,4.4
875,3.3
876,4.4
877,4.3
878,3.6
879,4.2
880,4.3
881,4.1
882,4.3
883,4.6
884,4.2
885,3
886,4.4
887,4.5
888,4.3
889,4.4
890,3.9
891,4.3
892,4.3
893,4.2
894,4.4
895,3
896,4.2
897,4.4
898,4.3
899,3.6
900,3.8
901,4.3
902,4.3
903,4.4
904,4.4
905,3.6
906,4.6
907,4.4
908,4.6
909,4.4
910,4.3
911,4.4
912,4.4
913,4.4
914,4.3
915,4.3
916,4.3
917,4.5
918,4.3
919,4.4
920,4.4
921,4.6
922,4.3
923,4.3
924,4.3
925,4.6
926,4.3
927,4.4
928,3.2
929,4.4
930,4.4
931,4.3
932,4.1
933,4.3
934,4.2
935,4.2
936,4.1
937,4.3
938,4.4
939,4.4
940,4.3
941,4.3
942,4.2
943,4.3
944,4.3
945,4.4
946,3.7
947,4.4
948,3.3
949,4.4
950,3
951,3
952,4.3
953,4.4
954,4.1
955,3.9
956,4.4
957,4.3
958,3
959,4.3
960,4.4
961,4.4
962,3.8
963,4.3
964,4.3
965,3.3
966,4.3
967,3.9
968,4.3
969,4.2
970,4.6
971,4.4
972,4.3
973,3.8
974,3.3
975,4.3
976,4.3
977,4.2
978,4.3
979,3.9
980,4.8
981,3
982,3.2
983,4.3
984,4
985,3.3
986,4.2
987,4.3
988,4.2
989,4.4
990,4.3
991,3.2
992,4.2
993,3.9
994,4.4
995,4.4
996,4.4
997,4.2
998,4.4
999,4.3
1000,4.3
1001,4.2
1002,4.3
1003,4.2
1004,3.6
1005,4.3
1006,4.4
1007,3.9
1008,4.4
1009,4.4
1010,3
1011,4.4
1012,3.3
1013,4.3
1014,4.3
1015,4.4
1016,3
1017,4.2
1018,4.4
1019,4.2
1020,4.7
1021,3.9
1022,3.6
1023,4.4
1024,4.2
1025,4.4
1026,4.4
1027,4.4
1028,3
1029,3.6
1030,3.3
1031,4.4
1032,4.4
1033,4.3
1034,3
1035,4.4
1036,3
1037,4.3
1038,4.2
1039,3.3
1040,4.4
1041,4.3
1042,4.4
1043,3
1044,4.3
1045,4.3
1046,4.2
1047,4.4
1048,4.4
1049,4.3
1050,4.2
1051,4.2
1052,4.1
1053,3.3
1054,4.3
1055,4.3
1056,3.3
1057,4.3
1058,3.8
1059,4.4
1060,3.3
1061,4.3
1062,4.5
1063,4.4
1064,3
1065,4.4
1066,4.3
1067,4.2
1068,4.2
1069,4.4
1070,4.3
1071,4.3
1072,4.4
1073,4.3
1074,4.4
1075,4.2
1076,4.4
1077,3.9
1078,3.3
1079,4
1080,4.4
1081,3.6
1082,3.3
1083,4.2
1084,4.3
1085,4.4
1086,3.6
1087,4.3
1088,4.2
1089,3.2
1090,4.1
1091,4.4
1092,4.4
1093,4.4
1094,3
1095,4.4
1096,3.8
1097,4.4
1098,4.3
1099,4.1
1100,4.3
1101,4.4
1102,4.4
1103,4.2
1104,4.4
1105,3.3
1106,4.3
1107,4.4
1108,4.4
1109,4.3
1110,4.3
1111,4.3
1112,4.3
1113,4.4
1114,4.3
1115,3.3
1116,4.4
1117,4.6
1118,4.2
1119,4.2
1120,4.3
1121,4.4
1122,4.4
1123,3.6
1124,4.3
1125,4.3
1126,3
1127,4.2
1128,4.6
1129,4.3
1130,4.2
1131,4.3
1132,4.2
1133,4.4
1134,4.2
1135,3.6
1136,4.4
1137,4.4
1138,4.4
1139,4.2
1140,4.4
1141,3.3
1142,3
1143,4
1144,4.7
1145,3
1146,4.4
1147,4.2
1148,4.1
1149,3.7
1150,4.3
1151,4.2
1152,4.3
1153,4.3
1154,4.2
1155,4.4
1156,3.9
1157,3.9
1158,4.4
1159,4.3
1160,4.3
1161,4.3
1162,3.2
1163,4.3
1164,4.3
1165,4.3
1166,4.2
1167,3.3
