"[3727, 0.0, 0.0]"
"[3727, 0.47222222222222227, 0.31111111111111117]"
"[3727, 0.0, 0.0]"
"[2954, 0.875, 0.4]"
"[2954, 0.0, 0.0]"
"[2954, 0.0, 0.0]"
"[2954, 0.2125, -0.1625]"
"[2954, 0.0, 0.0]"
"[2954, 0.0, 0.0]"
"[2954, 0.0, 0.0]"
"[2954, 0.4772727272727273, -0.03409090909090909]"
"[2954, 0.0, 0.0]"
"[2954, 1.0, 0.0]"
"[2954, 0.45, 0.2]"
"[2954, 0.0, 0.0]"
"[2954, 0.45454545454545453, 0.13636363636363635]"
"[2954, 0.0, 0.0]"
"[2954, 0.15151515151515152, 0.04545454545454545]"
"[2954, 0.0, 0.0]"
"[2954, 1.0, -0.5]"
"[2954, 0.125, 0.0]"
"[2954, 0.375, -0.125]"
"[2954, 0.0, 0.0]"
"[2954, 0.0, 0.0]"
"[2954, 0.05, 0.0]"
"[2954, 0.0, 0.0]"
"[2954, 0.8, 0.0]"
"[2954, 0.45454545454545453, 0.13636363636363635]"
"[2954, 0.6000000000000001, 0.7]"
"[2954, 0.48125, 0.425]"
"[2954, 0.0, 0.0]"
"[1755, 0.3333333333333333, 0.25]"
"[1755, 0.0, 0.0]"
"[1755, 0.6875, 0.020833333333333315]"
"[1755, 0.75, -0.75]"
"[787, 0.20833333333333331, -0.016666666666666663]"
"[787, 0.0, 0.0]"
"[787, 0.3125, 0.0]"
"[787, 0.625, -0.0075]"
"[787, 0.4222222222222222, 0.12222222222222222]"
"[1793, 0.5666666666666667, 0.033333333333333326]"
"[1793, 0.7166666666666668, 0.18333333333333335]"
"[1793, 0.7142857142857143, 0.30714285714285716]"
"[1793, 0.5391025641025641, 0.06474358974358975]"
"[1793, 1.0, 0.0]"
"[1793, 0.23125, -0.03125]"
"[1793, 0.0, 0.0]"
"[1793, 0.41666666666666663, -0.041666666666666664]"
"[1793, 0.4, 0.1]"
"[1793, 0.0, 0.0]"
"[1793, 0.6, 0.2]"
"[1793, 0.125, 0.0]"
"[2279, 0.75, 0.25833333333333336]"
"[2279, 0.8333333333333333, 0.6666666666666666]"
"[2279, 0.425, 0.4]"
"[2279, 0.75, 0.20833333333333331]"
"[317, 0.26, 0.26]"
"[317, 0.0, 0.0]"
"[317, 0.0, 0.0]"
"[317, 0.32166666666666666, -0.11666666666666667]"
"[317, 0.4, -0.2]"
"[317, 0.0, 0.0]"
"[317, 0.0, 0.0]"
"[317, 0.0, 0.0]"
"[317, 0.24166666666666667, 0.06666666666666667]"
"[317, 0.4, 0.0]"
"[317, 0.6755102040816326, -0.14617346938775513]"
"[317, 1.0, 0.6]"
"[317, 0.6, -0.4]"
"[346, 0.75, 1.0]"
"[346, 0.8333333333333334, 0.5416666666666667]"
"[244, 0.26666666666666666, 0.2333333333333333]"
"[244, 0.16666666666666666, 0.0]"
"[244, 0.6666666666666666, 0.03333333333333333]"
"[244, 0.55, 0.0]"
"[678, 0.0, 0.0]"
