"num_of_chars","num_of_words","num_of_sents","num_of_sylb","num_of_digits","num_unique_words","num_stop_words","pct_caps_lock_words","pct_uppercase","words_entropy","chars_entropy","length_entropy","FOG","FK","ARI","CLI","FRE","SMOG","DC","text_errors","avg_sentence_length","num_excl_marks","num_ques_marks","num_punctuation","num_commas","l1","l2","l2_plus","l2_l9","l10_plus","pct_adverbs","pct_adjectives","pct_nouns","pct_verbs","pct_wh_words","pct_compar_words","pct_open_class_words","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","polarity","subjectivity_2","senti_diffs_per_ref"
1160,289,15,1.30449826989619,0,0.456747404844291,0.498269896193772,0.041522491349481,0.0232142857142857,6.5098002727836,4.14622108932377,2.89874443428407,11.5820991926182,7.31707958477509,6.65219146482122,5.6946383796692,76.9187797001154,10.9341973088104,9.40015434832757,0.0069204152249135,19.2666666666667,0,0,0.0344827586206897,0.0112068965517241,0.0657439446366782,0.214532871972318,0.719723183391003,0.913494809688581,0.0207612456747405,0.0934256055363322,0.0795847750865052,0.235294117647059,0.193771626297578,0.0103806228373702,0.0207612456747405,0.602076124567474,0.0948340947992244,0.0948340947992244,0,0.232295142476828,0.0948340947992244,0.0380622837370242,0.0449826989619377,0.232295142476828,0,0.250907430648672,0.0833333333333333,0.0830449826989619,0.0069204152249135
748,171,21,1.32163742690058,0.0106951871657754,0.584795321637427,0.467836257309941,0.0467836257309941,0.0364656381486676,6.25342850063484,4.21838670198148,2.97160356913821,6.29807852965748,3.18103592314119,2.30774436090226,5.11662983423859,86.7594736842105,7.62386473244151,8.56500559732665,0.0233918128654971,8.14285714285714,0,0,0.036096256684492,0.00668449197860963,0.0818713450292398,0.146198830409357,0.771929824561403,0.906432748538012,0.0116959064327485,0.087719298245614,0.064327485380117,0.251461988304094,0.169590643274854,0.0175438596491228,0.0116959064327485,0.573099415204678,0.0709821518383148,0.12294469341453,0.0709821518383148,0.158720916699684,0.100383921816171,0.0467836257309941,0.064327485380117,0.187801121288407,0.100383921816171,0.187801121288407,0.157894736842105,0.111111111111111,0.0175438596491228
61,13,1,1.46153846153846,0,1,0.384615384615385,0.0769230769230769,0.0169491525423729,3.70043971814109,3.9225458132397,2.81507241011594,11.3538461538462,6.72615384615385,6.44615384615384,8.60873197799999,69.9938461538462,11.2081432601887,9.13976153846154,0.153846153846154,13,0,0,0.0327868852459016,0,0.0769230769230769,0.0769230769230769,0.846153846153846,0.923076923076923,0,0.0769230769230769,0.153846153846154,0.230769230769231,0.153846153846154,0,0,0.615384615384615,0.173602708941199,0.122755652724676,0.122755652724676,0.122755652724676,0.122755652724676,0.153846153846154,0.230769230769231,0.122755652724676,0,0.21261902743542,0.2,0.384615384615385,0.0769230769230769
365,88,8,1.40909090909091,0.00273972602739726,0.75,0.545454545454545,0.0340909090909091,0.0252808988764045,5.82893226118998,4.11925301746202,2.87562071370006,7.58181818181818,5.32727272727273,3.12409090909091,5.29611578298181,76.4609090909091,8.47288482444793,7.41187272727273,0.0113636363636364,11,0,0,0.0219178082191781,0,0.0909090909090909,0.113636363636364,0.795454545454545,0.886363636363636,0.0227272727272727,0.102272727272727,0.125,0.238636363636364,0.136363636363636,0.0113636363636364,0,0.602272727272727,0.0844135883556855,0.11937884150119,0.0844135883556855,0.146208623881252,0.146208623881252,0.0340909090909091,0.0795454545454545,0.146208623881252,0.0844135883556855,0.188754521787998,0.4,0.113636363636364,0.0454545454545455
1696,369,18,1.4390243902439,0.00412735849056604,0.501355013550135,0.493224932249323,0.0214477211796247,0.0247218788627936,6.81879451581749,4.26710326463674,3.11514600363744,12.4276422764228,9.38548780487805,9.61292682926829,8.71330794365853,64.2860365853659,11.5380348314754,9.31755474254743,0.0268096514745308,20.5,0,0,0.0395047169811321,0.0141509433962264,0.0542005420054201,0.178861788617886,0.766937669376694,0.883468834688347,0.0623306233062331,0.0731707317073171,0.0975609756097561,0.254742547425474,0.165311653116531,0.00813008130081301,0,0.590785907859079,0.0514387701442515,0.162663673693703,0.0727454063697927,0.136094193548704,0.125998739849726,0.035230352303523,0.0704607046070461,0.136094193548704,0.102877540288503,0.212087482556617,0.333333333333333,0.105691056910569,0.035230352303523
1203,288,18,1.31597222222222,0,0.538194444444444,0.472222222222222,0.0449826989619377,0.025974025974026,6.69327461490689,4.19841703101003,2.9067139757087,8.9,6.17847222222222,5.5571875,6.053142908175,79.26375,8.84184627477888,8.70655833333333,0.0207612456747405,16,0.00166251039068994,0,0.0399002493765586,0.00498753117206983,0.0694444444444444,0.159722222222222,0.770833333333333,0.923611111111111,0.00694444444444444,0.0902777777777778,0.0694444444444444,0.243055555555556,0.184027777777778,0.03125,0.00347222222222222,0.586805555555556,0.0700096996917001,0.148513000202505,0.0700096996917001,0.156546447594987,0.1400193993834,0.0451388888888889,0.0694444444444444,0.164187299387228,0.11069505466508,0.1400193993834,0.212121212121212,0.114583333333333,0.0243055555555556
607,137,11,1.36496350364964,0.0115321252059308,0.62043795620438,0.547445255474453,0.0434782608695652,0.0433275563258232,6.00443617140577,4.22255698318193,3.04706108575464,7.90152621101526,5.37384207033842,4.80617783676178,6.80221480587153,78.7177239548772,8.57598985485378,8.74920895819509,0.036231884057971,12.4545454545455,0,0,0.0378912685337726,0.00494233937397035,0.0656934306569343,0.182481751824818,0.751824817518248,0.912408759124088,0.0218978102189781,0.109489051094891,0.0656934306569343,0.18978102189781,0.182481751824818,0,0,0.547445255474453,0,0.267949192431123,0,0,0,0.0364963503649635,0.0218978102189781,0.267949192431123,0,0.464101615137755,-0.25,0.0583941605839416,-0.0145985401459854
962,217,13,1.47465437788018,0.00207900207900208,0.539170506912442,0.525345622119816,0.0552995391705069,0.0748663101604278,6.24153151467408,4.11621326053868,3.03585855063242,10.1792272243885,8.32092165898618,7.21039347749025,7.76153080290691,65.1365473236441,10.035473477838,8.97586703296703,0.0230414746543779,16.6923076923077,0.00103950103950104,0,0.025987525987526,0.00311850311850312,0.0460829493087558,0.188940092165899,0.764976958525346,0.907834101382488,0.0460829493087558,0.0552995391705069,0.0552995391705069,0.235023041474654,0.170506912442396,0.00460829493087558,0.00460829493087558,0.516129032258065,0.117822465322911,0.0833130642059469,0.0589112326614553,0.176733697984366,0.102037248106152,0.0460829493087558,0.0506912442396313,0.176733697984366,0.117822465322911,0.166626128411894,0.0476190476190476,0.0967741935483871,0.00460829493087558
343,79,6,1.37974683544304,0.0204081632653061,0.721518987341772,0.518987341772152,0.111111111111111,0.10377358490566,5.62309166576169,4.35359546887202,2.95700567188902,9.31729957805907,5.82601265822785,4.47029535864979,6.06689537270379,76.7442510548523,9.72561119911124,8.48690843881857,0.0123456790123457,13.1666666666667,0,0,0.0524781341107872,0.0087463556851312,0.0759493670886076,0.151898734177215,0.772151898734177,0.89873417721519,0.0253164556962025,0.0886075949367089,0.10126582278481,0.177215189873418,0.20253164556962,0.0126582278481013,0,0.569620253164557,0.194315707106061,0,0,0.194315707106061,0.274803908371509,0,0.0886075949367089,0,0,0.33656467741637,1,0.0886075949367089,0.0886075949367089
1272,298,7,1.37248322147651,0.00314465408805031,0.560402684563758,0.469798657718121,0.03,0.0244299674267101,6.94150327197405,4.27545525353228,2.96306622076585,19.8473633748802,17.20815915628,19.5333988494727,8.06934480586308,47.5129194630872,13.0238667986669,10.357875071908,0.0366666666666667,42.5714285714286,0,0,0.0314465408805031,0.00235849056603774,0.0536912751677852,0.164429530201342,0.781879194630873,0.929530201342282,0.0167785234899329,0.0805369127516778,0.104026845637584,0.25503355704698,0.187919463087248,0.023489932885906,0.00335570469798658,0.62751677852349,0.089110177487194,0.145516310488313,0.102895569919534,0.11504074446183,0.126020821547863,0.0369127516778524,0.0604026845637584,0.126020821547863,0.102895569919534,0.192499984627869,0.241379310344828,0.0973154362416107,0.023489932885906
